x1_0.333333333333333,x2_0.666666666666667,x3_0.273392813011508,x4_0.367234991423671,x5_0.44740122426266,x6_0,x7_0.224680403946063,x8_0.352017795088953,x9_0,x10_0.243499495673409,x11_0,x12_0.266670525026285,x13_0.249791029561672,y_0.44063356927972
x1_0.333333333333333,x2_0.666666666666667,x3_0.273392813011508,x4_0.367234991423671,x5_0.44740122426266,x6_0,x7_0.224680403946063,x8_0.352017795088953,x9_0,x10_0.243499495673409,x11_0,x12_0.266670525026285,x13_0.249791029561672,y_0.44063356927972
x1_0.333333333333333,x2_0.666666666666667,x3_0.273392813011508,x4_0.367234991423671,x5_0.44740122426266,x6_0,x7_0.224680403946063,x8_0.352017795088953,x9_0,x10_0.243499495673409,x11_0,x12_0.266670525026285,x13_0.249791029561672,y_0.44063356927972
x1_0,x2_1,x3_0.245281442029998,x4_0.405717552887364,x5_0.519198664440735,x6_0,x7_0.384702196797229,x8_0.3266263854184,x9_0.00471263181435035,x10_0,x11_0,x12_0.776816403172858,x13_0,y_0.642684023195919
x1_0,x2_1,x3_0.245281442029998,x4_0.405717552887364,x5_0.519198664440735,x6_0,x7_0.384702196797229,x8_0.3266263854184,x9_0.00471263181435035,x10_0,x11_0,x12_0.776816403172858,x13_0,y_0.642684023195919
x1_0,x2_1,x3_0.245281442029998,x4_0.405717552887364,x5_0.519198664440735,x6_0,x7_0.384702196797229,x8_0.3266263854184,x9_0.00471263181435035,x10_0,x11_0,x12_0.776816403172858,x13_0,y_0.642684023195919
x1_0,x2_1,x3_0.245281442029998,x4_0.405717552887364,x5_0.519198664440735,x6_0,x7_0.384702196797229,x8_0.3266263854184,x9_0.00471263181435035,x10_0,x11_0,x12_0.776816403172858,x13_0,y_0.642684023195919
x1_0,x2_1,x3_0.245281442029998,x4_0.405717552887364,x5_0.519198664440735,x6_0,x7_0.384702196797229,x8_0.3266263854184,x9_0.00471263181435035,x10_0,x11_0,x12_0.776816403172858,x13_0,y_0.642684023195919
x1_0,x2_1,x3_0.245281442029998,x4_0.405717552887364,x5_0.519198664440735,x6_0,x7_0.384702196797229,x8_0.3266263854184,x9_0.00471263181435035,x10_0,x11_0,x12_0.776816403172858,x13_0,y_0.642684023195919
x1_0,x2_1,x3_0.245281442029998,x4_0.405717552887364,x5_0.519198664440735,x6_0,x7_0.384702196797229,x8_0.3266263854184,x9_0.00471263181435035,x10_0,x11_0,x12_0.776816403172858,x13_0,y_0.642684023195919
x1_0,x2_1,x3_0.245281442029998,x4_0.405717552887364,x5_0.519198664440735,x6_0,x7_0.384702196797229,x8_0.3266263854184,x9_0.00471263181435035,x10_0,x11_0,x12_0.776816403172858,x13_0,y_0.642684023195919
x1_0,x2_1,x3_0.245281442029998,x4_0.405717552887364,x5_0.519198664440735,x6_0,x7_0.384702196797229,x8_0.3266263854184,x9_0.00471263181435035,x10_0,x11_0,x12_0.776816403172858,x13_0,y_0.642684023195919
x1_0.285714285714286,x2_0.714285714285714,x3_0.280523927377964,x4_0.274957118353345,x5_0.498354400190794,x6_0.60735632183908,x7_0.330662041245195,x8_0.273248252796635,x9_0.00375998053657134,x10_0,x11_0.129683980615658,x12_0.394655069540042,x13_0.352118829183049,y_0.707179644020162
x1_0.285714285714286,x2_0.714285714285714,x3_0.280523927377964,x4_0.274957118353345,x5_0.498354400190794,x6_0.60735632183908,x7_0.330662041245195,x8_0.273248252796635,x9_0.00375998053657134,x10_0,x11_0.129683980615658,x12_0.394655069540042,x13_0.352118829183049,y_0.707179644020162
x1_0.285714285714286,x2_0.714285714285714,x3_0.280523927377964,x4_0.274957118353345,x5_0.498354400190794,x6_0.60735632183908,x7_0.330662041245195,x8_0.273248252796635,x9_0.00375998053657134,x10_0,x11_0.129683980615658,x12_0.394655069540042,x13_0.352118829183049,y_0.707179644020162
x1_0.285714285714286,x2_0.714285714285714,x3_0.280523927377964,x4_0.274957118353345,x5_0.498354400190794,x6_0.60735632183908,x7_0.330662041245195,x8_0.273248252796635,x9_0.00375998053657134,x10_0,x11_0.129683980615658,x12_0.394655069540042,x13_0.352118829183049,y_0.707179644020162
x1_0.285714285714286,x2_0.714285714285714,x3_0.280523927377964,x4_0.274957118353345,x5_0.498354400190794,x6_0.60735632183908,x7_0.330662041245195,x8_0.273248252796635,x9_0.00375998053657134,x10_0,x11_0.129683980615658,x12_0.394655069540042,x13_0.352118829183049,y_0.707179644020162
x1_0.285714285714286,x2_0.714285714285714,x3_0.280523927377964,x4_0.274957118353345,x5_0.498354400190794,x6_0.60735632183908,x7_0.330662041245195,x8_0.273248252796635,x9_0.00375998053657134,x10_0,x11_0.129683980615658,x12_0.394655069540042,x13_0.352118829183049,y_0.707179644020162
x1_0.285714285714286,x2_0.714285714285714,x3_0.280523927377964,x4_0.274957118353345,x5_0.498354400190794,x6_0.60735632183908,x7_0.330662041245195,x8_0.273248252796635,x9_0.00375998053657134,x10_0,x11_0.129683980615658,x12_0.394655069540042,x13_0.352118829183049,y_0.707179644020162
x1_0,x2_1,x3_0.28275889240291,x4_0.397440823327616,x5_0.514735670562048,x6_0,x7_0.282217422606192,x8_0.384422958133342,x9_0,x10_0,x11_0,x12_0.652512917466472,x13_0,y_0.47608264263517
x1_0,x2_1,x3_0.28275889240291,x4_0.397440823327616,x5_0.514735670562048,x6_0,x7_0.282217422606192,x8_0.384422958133342,x9_0,x10_0,x11_0,x12_0.652512917466472,x13_0,y_0.47608264263517
x1_0,x2_1,x3_0.28275889240291,x4_0.397440823327616,x5_0.514735670562048,x6_0,x7_0.282217422606192,x8_0.384422958133342,x9_0,x10_0,x11_0,x12_0.652512917466472,x13_0,y_0.47608264263517
x1_0.142857142857143,x2_0.857142857142857,x3_0.322526226813133,x4_0.316652781181083,x5_0.547817791557358,x6_0.473234811165846,x7_0.365853048358448,x8_0.314795046985437,x9_0.00707761042178134,x10_0,x11_0.129683980615658,x12_0.394655069540042,x13_0.23307121013543,y_0.691727316555192
